,user_followers,user_friends,user_favourites,user_verified,Sentiment
235,246.0,178.0,1580.0,0,2
236,1287.0,672.0,1095.0,0,1
237,42.0,162.0,234.0,0,2
238,4150.0,0.0,1802.0,0,1
239,3666.0,5000.0,46194.0,0,2
240,42.0,201.0,12050.0,0,1
241,28.0,163.0,80.0,0,2
242,7129.0,561.0,7196.0,0,1
243,486.0,718.0,5430.0,0,1
244,1598.0,5006.0,12445.0,0,1
245,154.0,40.0,788.0,0,2
246,39596.0,934.0,32483.0,0,0
247,9798.0,3337.0,193.0,0,1
248,1598.0,178.0,12445.0,0,1
249,120.0,41.0,221.0,0,0
250,17.0,475.0,301.0,0,1
251,161.0,23.0,62.0,0,2
252,457.0,1679.0,1810.0,0,1
253,3508.0,0.0,0.0,0,1
254,4154.0,76.0,45.0,0,1
255,1094.0,161.0,59.0,0,1
256,2158.0,1.0,3.0,0,1
257,1.0,0.0,0.0,0,2
258,2109.0,3429.0,140.0,0,2
259,6.0,112.0,60.0,0,2
260,867.0,899.0,966.0,0,0
261,189.0,560.0,1872.0,0,2
262,3092.0,3550.0,25475.0,0,2
263,6180.183566116452,0.0,8.0,0,1
264,1525.0,3432.0,30342.0,0,1
265,1.0,10.0,0.0,0,2
266,542.0,20.0,6283.0,0,1
267,60.0,320.0,43.0,0,2
268,16.0,458.0,100.0,0,2
269,773.0,762.0,20279.0,0,1
270,5255.0,204.0,3767.0,0,1
271,26103.0,20718.0,6296.0,0,2
272,26103.0,20718.0,6296.0,0,1
273,246.0,183.0,6771.5,0,1
274,1233.0,99.0,7247.0,0,2
275,26103.0,20718.0,6296.0,0,2
276,26103.0,20718.0,6296.0,0,2
277,6180.183566116452,20718.0,6296.0,0,1
278,26103.0,20718.0,6296.0,0,1
279,26103.0,20718.0,6296.0,0,1
280,26103.0,20718.0,6296.0,0,1
281,26103.0,20718.0,6296.0,0,2
282,26103.0,20718.0,6296.0,0,1
283,209.0,623.0,535.0,0,2
284,625.0,129.0,14.0,0,1
285,26103.0,20718.0,6296.0,0,2
286,26103.0,20718.0,6296.0,0,2
287,26103.0,20718.0,6296.0,0,2
288,26103.0,20718.0,6296.0,0,2
289,6180.183566116452,20718.0,6296.0,0,1
290,26103.0,20718.0,6296.0,0,1
291,4150.0,0.0,1802.0,0,2
292,4052.0,1.0,9.0,0,1
293,519.0,4532.0,1875.0,0,1
294,3131.0,1.0,18.0,0,1
295,1214.0,46.0,574.0,0,0
